"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 20, 2021","2.62998","2.65786","2.74524","2.59341","161.39M","-1.05%"
"Nov 19, 2021","2.65796","2.21817","2.89119","2.17599","231.44M","19.74%"
"Nov 18, 2021","2.21983","2.52645","2.59172","2.16439","133.33M","-12.16%"
"Nov 17, 2021","2.52725","2.63178","2.87792","2.48019","134.08M","-3.69%"
"Nov 16, 2021","2.62406","2.90906","2.90959","2.37758","145.38M","-9.79%"
"Nov 15, 2021","2.90898","3.06097","3.11418","2.85244","106.60M","-4.98%"
"Nov 14, 2021","3.06150","2.67245","3.35410","2.65391","294.82M","14.54%"
"Nov 13, 2021","2.67280","3.03868","3.08795","2.61875","142.95M","-12.07%"
"Nov 12, 2021","3.03966","3.21633","3.52604","2.84937","258.70M","-5.48%"
"Nov 11, 2021","3.21585","3.03373","3.73143","2.98012","478.97M","6.11%"
"Nov 10, 2021","3.03068","2.92615","3.82476","2.67181","994.58M","3.52%"
"Nov 09, 2021","2.92755","2.04136","3.01440","2.00927","1.02B","43.41%"
"Nov 08, 2021","2.04136","1.47447","2.48416","1.41002","817.08M","38.37%"
"Nov 07, 2021","1.47528","1.28199","1.51233","1.24352","192.36M","15.09%"
"Nov 06, 2021","1.28186","1.18268","1.35302","1.16750","240.86M","8.42%"
"Nov 05, 2021","1.18228","1.11474","1.47880","1.08234","393.15M","6.07%"
"Nov 04, 2021","1.11467","1.18607","1.36607","1.06191","275.39M","-6.52%"
"Nov 03, 2021","1.19241","1.43441","1.57243","1.15832","600.90M","-16.94%"
"Nov 02, 2021","1.43561","1.02167","1.69585","0.92885","1.49B","40.52%"
"Nov 01, 2021","1.02167","0.62904","1.12793","0.61432","1.45B","62.78%"
"Oct 31, 2021","0.62765","0.54891","0.63514","0.54119","82.65M","14.34%"
"Oct 30, 2021","0.54891","0.54938","0.64538","0.53578","163.78M","0.57%"
"Oct 29, 2021","0.54579","0.53907","0.57732","0.50072","170.80M","1.10%"
"Oct 28, 2021","0.53988","0.37325","0.58794","0.37029","355.64M","44.64%"
"Oct 27, 2021","0.37325","0.42798","0.44636","0.36655","55.11M","-12.79%"
"Oct 26, 2021","0.42801","0.42782","0.44025","0.42337","29.55M","0.04%"
"Oct 25, 2021","0.42782","0.41553","0.42927","0.41331","13.91M","2.92%"
"Oct 24, 2021","0.41566","0.43329","0.43606","0.40617","19.53M","-4.07%"
"Oct 23, 2021","0.43329","0.42545","0.43781","0.42099","25.26M","2.04%"
"Oct 22, 2021","0.42464","0.41442","0.42864","0.40616","25.88M","2.48%"
"Oct 21, 2021","0.41437","0.43578","0.44381","0.41187","31.42M","-4.86%"
"Oct 20, 2021","0.43553","0.42881","0.44216","0.42291","21.67M","1.57%"
"Oct 19, 2021","0.42881","0.43165","0.43766","0.42026","22.95M","-0.66%"
"Oct 18, 2021","0.43165","0.45064","0.46025","0.41884","50.78M","-4.24%"
"Oct 17, 2021","0.45075","0.42064","0.51250","0.41358","163.60M","7.24%"
"Oct 16, 2021","0.42034","0.41423","0.45752","0.41278","90.37M","1.52%"
"Oct 15, 2021","0.41404","0.37943","0.48974","0.37027","202.68M","9.15%"
"Oct 14, 2021","0.37934","0.38187","0.39542","0.37615","16.88M","-0.72%"
"Oct 13, 2021","0.38208","0.37273","0.38246","0.36400","18.82M","2.51%"
"Oct 12, 2021","0.37273","0.36939","0.37645","0.34898","26.73M","0.82%"
"Oct 11, 2021","0.36969","0.38312","0.38930","0.36069","40.82M","-3.51%"
