1,,Bitcoin,BTC,"59,288",$1.12T,$32.88B,30.35%,+2.19%,-7.57%
2,,Ethereum,ETH,"4,368.2",$519.11B,$15.83B,14.61%,+2.42%,-6.35%
3,,Binance Coin,BNB,593,$99.24B,$2.23B,2.06%,+2.52%,-8.81%
4,,Tether,USDT,1.001,$73.10B,$74.49B,68.76%,+0.02%,+0.06%
5,,Solana,SOL,215.14,$65.52B,$2.11B,1.95%,-0.49%,-8.79%
6,,Cardano,ADA,1.9039,$63.82B,$1.65B,1.52%,+1.60%,-6.84%
7,,XRP,XRP,1.08857,$51.56B,$2.76B,2.54%,-0.15%,-8.46%
8,,Polkadot,DOT,41.419,$41.07B,$1.09B,1.00%,+0.02%,-11.41%
9,,USD Coin,USDC,0.9993,$34.44B,$2.99B,2.76%,+0.04%,+0.05%
10,,Dogecoin,DOGE,0.23003,$30.51B,$796.26M,0.73%,-1.59%,-11.10%
11,,Avalanche,AVAX,123.26,$27.23B,$1.99B,1.84%,+15.35%,+29.37%
12,,SHIBA INU,SHIB,0.0000477,$26.36B,$2.54B,2.34%,-2.57%,-7.53%
13,,Terra,LUNA,42.749,$17.18B,$598.37M,0.55%,-0.52%,-19.43%
14,,Litecoin,LTC,223.8,$15.47B,$2.05B,1.89%,+2.94%,-13.20%
15,,Wrapped Bitcoin,WBTC,"59,294",$14.45B,$213.21M,0.20%,+2.44%,-10.13%
16,,Crypto.com Coin,CRO,0.5632,$14.30B,$444.52M,0.41%,+3.19%,+43.98%
17,,Uniswap,UNI,21.581,$13.64B,$200.24M,0.18%,+2.13%,-11.92%
18,,Chainlink,LINK,28.06,$13.21B,$753.22M,0.70%,-1.45%,-17.09%
19,,Binance USD,BUSD,0.9992,$13.14B,$6.19B,5.71%,0%,+0.16%
20,,Algorand,ALGO,1.82,$11.43B,$538.33M,0.50%,-1.38%,-13.18%
21,,Polygon,MATIC,1.61109,$11.21B,$696.34M,0.64%,-0.06%,-8.42%
22,,Bitcoin Cash,BCH,580.7,$11.03B,$956.62M,0.88%,+1.12%,-12.75%
23,,VeChain,VET,0.13684,$8.85B,$540.80M,0.50%,-2.60%,-15.07%
24,,Stellar,XLM,0.34443,$8.41B,$545.13M,0.50%,-1.97%,-8.73%
25,,Axie Infinity,AXS,129.61,$7.89B,$445.64M,0.41%,-1.20%,-11.26%
26,,Internet Computer,ICP,42.34,$7.67B,$260.59M,0.24%,+0.96%,-11.85%
27,,TRON,TRX,0.10444,$7.50B,$2.33B,2.15%,-0.33%,-7.69%
28,,FTX Token,FTT,52.754,$7.39B,$143.27M,0.13%,+0.80%,-4.85%
29,,Decentraland,MANA,3.9458,$7.22B,$2.67B,2.46%,-3.40%,+16.09%
30,,TerraUSD,UST,1.001,$7.15B,$71.81M,0.07%,-0.10%,-0.23%
31,,Elrond,EGLD,357.48,$7.04B,$476.28M,0.44%,-0.88%,+9.63%
32,,Ethereum Classic,ETC,50.42,$6.64B,$625.03M,0.58%,+0.44%,-9.32%
33,,THETA,THETA,6.6155,$6.63B,$176.25M,0.16%,+4.81%,-8.27%
34,,Filecoin,FIL,53.44,$6.60B,$441.08M,0.41%,-1.05%,-15.09%
35,,Dai,DAI,1.00002,$6.51B,$526.71M,0.49%,+0.17%,+0.41%
36,,Cosmos,ATOM,28.48,$6.43B,$324.64M,0.30%,+1.32%,-12.77%
37,,Bitcoin BEP2,BTCB,"52,426",$6.20B,$38.79M,0.04%,+1.95%,-8.60%
38,,Hedera,HBAR,0.38346,$5.77B,$91.65M,0.08%,+0.75%,-12.81%
39,,Fantom,FTM,2.1467,$5.48B,$595.18M,0.55%,-1.91%,-19.37%
40,,NEAR Protocol,NEAR,9.5752,$5.38B,$182.08M,0.17%,+1.81%,-13.90%
41,,Tezos,XTZ,5.5338,$4.85B,$216.44M,0.20%,+6.87%,-4.75%
42,,Helium,HNT,45.79,$4.70B,$48.01M,0.04%,-1.49%,-8.81%
43,,The Graph,GRT,0.95217,$4.49B,$118.11M,0.11%,+0.64%,-13.43%
44,,Monero,XMR,242.57,$4.39B,$194.03M,0.18%,+1.54%,-9.08%
45,,EOS,EOS,4.2912,$4.20B,$688.77M,0.64%,+0.81%,-14.28%
46,,Flow,FLOW,12.6791,$4.08B,$206.81M,0.19%,+1.07%,+0.13%
47,,Klaytn,KLAY,1.5194,$3.89B,$120.19M,0.11%,+0.17%,-1.93%
48,,PancakeSwap,CAKE,15.61,$3.78B,$193.53M,0.18%,-2.62%,-16.08%
49,,The Sandbox,SAND,4.1419,$3.70B,$1.73B,1.60%,-2.07%,+40.05%
50,,Aave,AAVE,274.4,$3.65B,$201.84M,0.19%,-2.31%,-11.31%
51,,IOTA,MIOTA,1.28943,$3.59B,$76.28M,0.07%,+0.08%,-1.85%
52,,Loopring,LRC,2.5669,$3.43B,$822.49M,0.76%,-5.96%,-8.12%
53,,eCash,XEC,0.000169,$3.21B,$66.10M,0.06%,-0.34%,-15.26%
54,,Enjin Coin,ENJ,3.6606,$3.08B,$1.45B,1.34%,+0.12%,+18.41%
55,,UNUS SED LEO,LEO,3.2234,$3.07B,$462.43K,0%,+0.37%,+4.91%
56,,Maker,MKR,"3,096.6",$3.06B,$142.60M,0.13%,+3.88%,-2.97%
57,,Harmony,ONE,0.28079,$3.05B,$297.00M,0.27%,+13.85%,+0.30%
58,,Kadena,KDA,19.3119,$3.05B,$54.43M,0.05%,-4.87%,-15.03%
59,,Kusama,KSM,356.87,$3.03B,$89.56M,0.08%,-1.73%,-16.54%
60,,Bitcoin SV,BSV,156.58,$2.98B,$153.59M,0.14%,+1.71%,-9.24%
